<date>,<open>,<high>,<low>,<close>,<vol>
03.03.2009,2.1594875866761861311449177553377458089,2.1594875866761861311449177553377458089,2.1594875866761861311449177553377458089,2.1594875866761861311449177553377458089,133320274.37,
03.04.2009,2.7906642811486132850545603667813049744,2.7906642811486132850545603667813049744,2.7906642811486132850545603667813049744,2.7906642811486132850545603667813049744,146224135.84,
03.05.2009,2.0622346296933381538437598505564769858,2.0622346296933381538437598505564769858,2.0622346296933381538437598505564769858,2.0622346296933381538437598505564769858,158412818.5,
03.06.2009,2.3802706275767788303801793442794957332,2.3802706275767788303801793442794957332,2.3802706275767788303801793442794957332,2.3802706275767788303801793442794957332,204857695.05,
03.10.2009,2.0923660112087378440560955718752371902,2.0923660112087378440560955718752371902,2.0923660112087378440560955718752371902,2.0923660112087378440560955718752371902,213678539.44,
03.11.2009,2.8310509660927184090748157170859032744,2.8310509660927184090748157170859032744,2.8310509660927184090748157170859032744,2.8310509660927184090748157170859032744,236480416.54,
03.12.2009,2.1138723630180613530657063399231104602,2.1138723630180613530657063399231104602,2.1138723630180613530657063399231104602,2.1138723630180613530657063399231104602,172960086.54,
03.13.2009,1.3563085999714604113412561861449058966,1.3563085999714604113412561861449058966,1.3563085999714604113412561861449058966,1.3563085999714604113412561861449058966,151367612.05,
03.16.2009,1.3226773773397189379772390209897269244,1.3226773773397189379772390209897269244,1.3226773773397189379772390209897269244,1.3226773773397189379772390209897269244,172565968.26,
03.17.2009,2.4519005790435816936061060363919284492,2.4519005790435816936061060363919284492,2.4519005790435816936061060363919284492,2.4519005790435816936061060363919284492,239580049.2,
03.18.2009,2.5060221408419173708374508318642683236,2.5060221408419173708374508318642683236,2.5060221408419173708374508318642683236,2.5060221408419173708374508318642683236,231040199.3,
03.19.2009,1.5612188175159425040454340265734251177,1.5612188175159425040454340265734251177,1.5612188175159425040454340265734251177,1.5612188175159425040454340265734251177,156370650.87,
03.20.2009,1.1196044513768336166234586066395830012,1.1196044513768336166234586066395830012,1.1196044513768336166234586066395830012,1.1196044513768336166234586066395830012,124871091.74,
03.24.2009,.87017122671648652422825762739739788804,.87017122671648652422825762739739788804,.87017122671648652422825762739739788804,.87017122671648652422825762739739788804,162547273.09,
03.25.2009,1.0141749872901901070849125847575649883,1.0141749872901901070849125847575649883,1.0141749872901901070849125847575649883,1.0141749872901901070849125847575649883,128187530.87,
03.26.2009,.61981638376744165335403133900193342537,.61981638376744165335403133900193342537,.61981638376744165335403133900193342537,.61981638376744165335403133900193342537,120323934.86,
03.27.2009,.41812995281367552245208921589504976686,.41812995281367552245208921589504976686,.41812995281367552245208921589504976686,.41812995281367552245208921589504976686,207347459.73,
03.30.2009,.64545387177167393454984561016017079429,.64545387177167393454984561016017079429,.64545387177167393454984561016017079429,.64545387177167393454984561016017079429,149300116.26,
