<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
INDEX.CSI200;D;20130704;0;2731.4950000;2813.8060000;2722.3540000;2777.4350000;4344165800
INDEX.CSI200;D;20130705;0;2785.2070000;2812.7930000;2772.5770000;2772.5860000;5083428200
INDEX.CSI200;D;20130708;0;2715.3710000;2740.6200000;2668.8150000;2669.0890000;4328075700
INDEX.CSI200;D;20130709;0;2667.6790000;2686.5790000;2652.1050000;2671.5560000;1871598300
INDEX.CSI200;D;20130710;0;2675.2440000;2755.8440000;2667.6060000;2755.8440000;2800468600
INDEX.CSI200;D;20130711;0;2765.8160000;2885.4350000;2764.6910000;2857.3620000;5130823600
INDEX.CSI200;D;20130712;0;2849.5720000;2871.6930000;2812.3070000;2812.5060000;6525914300
INDEX.CSI200;D;20130715;0;2837.0200000;2887.4050000;2819.3430000;2866.9900000;3628084700
INDEX.CSI200;D;20130716;0;2861.2920000;2889.4580000;2847.9770000;2888.1190000;3359901600
INDEX.CSI200;D;20130717;0;2876.9430000;2899.3970000;2832.2200000;2838.3040000;3398852500
INDEX.CSI200;D;20130718;0;2823.5940000;2839.2620000;2794.3320000;2805.5700000;2861713700
INDEX.CSI200;D;20130719;0;2812.4540000;2826.0290000;2732.5670000;2733.4350000;3421576500
INDEX.CSI200;D;20130722;0;2714.5160000;2766.0640000;2703.0600000;2765.8180000;2446386600
INDEX.CSI200;D;20130723;0;2777.5140000;2848.4020000;2774.5030000;2846.9450000;3500641600
INDEX.CSI200;D;20130724;0;2834.8160000;2853.7070000;2800.4480000;2846.1650000;3329608200
INDEX.CSI200;D;20130725;0;2849.7820000;2865.9990000;2804.4270000;2816.9400000;3401534100
INDEX.CSI200;D;20130726;0;2800.2930000;2822.6770000;2769.1560000;2793.6670000;2732679200
INDEX.CSI200;D;20130729;0;2771.0800000;2776.6600000;2734.3990000;2741.7750000;3581828800
INDEX.CSI200;D;20130730;0;2761.2970000;2777.5490000;2703.7350000;2735.8860000;4095879300
INDEX.CSI200;D;20130731;0;2769.3400000;2784.7900000;2733.3080000;2741.0000000;3420948900
INDEX.CSI200;D;20130801;0;2759.0320000;2818.1320000;2749.8930000;2818.1320000;4256764100
INDEX.CSI200;D;20130802;0;2848.6120000;2856.8800000;2824.6360000;2827.9410000;4410388600
INDEX.CSI200;D;20130805;0;2827.6210000;2878.6170000;2826.9020000;2878.6170000;4657061800
INDEX.CSI200;D;20130806;0;2870.1990000;2922.0860000;2863.0340000;2912.4980000;6311912700
INDEX.CSI200;D;20130807;0;2908.5070000;2931.7550000;2884.5370000;2889.4570000;5766699000
INDEX.CSI200;D;20130808;0;2886.2010000;2915.9200000;2877.1600000;2891.5640000;4276111700
INDEX.CSI200;D;20130809;0;2909.5560000;2923.4510000;2867.4440000;2904.8870000;3159505500
INDEX.CSI200;D;20130812;0;2923.5890000;2972.1450000;2910.9410000;2972.1450000;6949730100
INDEX.CSI200;D;20130813;0;2971.4360000;2975.3750000;2955.9520000;2974.2720000;5657537900
INDEX.CSI200;D;20130814;0;2978.1760000;3000.5970000;2952.2950000;2965.4150000;5274287100
INDEX.CSI200;D;20130815;0;2965.2720000;2971.2860000;2915.7690000;2918.2630000;2992128200
INDEX.CSI200;D;20130816;0;2908.2780000;2983.9190000;2871.0760000;2871.8720000;7204869700
INDEX.CSI200;D;20130819;0;2852.9620000;2916.5660000;2852.9070000;2910.5380000;5460396000
INDEX.CSI200;D;20130820;0;2904.0820000;2933.4340000;2874.9850000;2884.6870000;5452651200
INDEX.CSI200;D;20130821;0;2893.1270000;2893.1270000;2861.1360000;2888.4070000;4395974200
INDEX.CSI200;D;20130822;0;2880.2420000;2906.9920000;2873.5230000;2885.3070000;2891484900
INDEX.CSI200;D;20130823;0;2903.9170000;2908.6220000;2825.4740000;2875.3720000;3417279000
INDEX.CSI200;D;20130826;0;2887.1220000;2938.9110000;2879.9260000;2938.7330000;3422183200
INDEX.CSI200;D;20130827;0;2935.4070000;2952.6830000;2929.6160000;2952.6110000;3317519200
INDEX.CSI200;D;20130828;0;2931.6150000;2965.3450000;2915.8870000;2942.4900000;4425327900
INDEX.CSI200;D;20130829;0;2949.6880000;2954.0080000;2911.9950000;2924.8720000;3254818100
INDEX.CSI200;D;20130830;0;2923.2110000;2940.5920000;2891.4590000;2903.5650000;4585410000
INDEX.CSI200;D;20130902;0;2915.3210000;2924.6360000;2880.8830000;2916.5260000;5726110900
INDEX.CSI200;D;20130903;0;2924.1490000;2963.2720000;2919.1560000;2963.1600000;5793624300
INDEX.CSI200;D;20130904;0;2964.5150000;2971.3670000;2948.1000000;2955.3540000;6691606200
INDEX.CSI200;D;20130905;0;2949.1160000;2952.0500000;2934.4450000;2941.6090000;5196396200
INDEX.CSI200;D;20130906;0;2936.6780000;2964.0890000;2936.6780000;2959.9150000;5816786200
INDEX.CSI200;D;20130909;0;2972.0150000;3013.0070000;2964.0510000;3005.3410000;5463431900
INDEX.CSI200;D;20130910;0;3005.5020000;3038.1410000;2996.9160000;3038.0510000;6262139400
INDEX.CSI200;D;20130911;0;3046.8300000;3057.5130000;3022.0250000;3040.6550000;7422270300
INDEX.CSI200;D;20130912;0;3034.3060000;3057.1310000;3030.3860000;3046.3820000;5513614900
INDEX.CSI200;D;20130913;0;3050.4000000;3059.1180000;3032.4510000;3044.5980000;4963817200
INDEX.CSI200;D;20130916;0;3053.8190000;3055.2240000;3032.2820000;3038.2560000;3370746500
